Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Furnished,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Terrace surface,Garden surface,Type of building,How many fireplaces?
20213950,126000€,3,127,Not installed,2,No,4780,recht,for-sale,house,house,,,,
20236568,625000€,4,284,Semi equipped,5,,1850,grimbergen,for-sale,house,house,,,,
20236563,Starting price : 150000€,4,162,Installed,2,,3700,tongeren,for-sale,house,house,41,81,,
20236562,599000€,4,200,Not installed,4,No,1970,wezembeek-oppem,for-sale,villa,house,25,380,,
20236560,389900€,2,150,Hyper equipped,3,,2140,borgerhout,for-sale,house,house,5,19,,
20236558,389900€,2,150,Hyper equipped,3,,2018,antwerpen,for-sale,house,house,5,19,,
20236559,479000€,4,226,Installed,4,,2960,brecht,for-sale,villa,house,,780,,
20236557,274000€,2,318,Installed,3,No,4800,verviers,for-sale,mixed-use-building,house,,,,
20236554,220000€,,145,,3,,7080,frameries,for-sale,house,house,,,,
20236553,220000€,,145,,3,,7080,frameries,for-sale,apartment-block,house,,,,
20236552,249000€,2,250,,5,,4960,malmedy,for-sale,house,house,,,,
20236549,1475000€,4,559,Hyper equipped,3,,2280,grobbendonk,for-sale,villa,house,,,,
20236548,1085000€,2,543,Semi equipped,4,,2500,lier,for-sale,apartment-block,house,8,114,,
20236544,239000€,4,175,,4,,3990,peer,for-sale,house,house,,,All kind,
20236541,649000€,3,,,3,,8300,knokke-heist,for-sale,house,house,,,All kind,
20134246,399000€,2,253,,3,,8460,oudenburg,for-sale,house,house,32,31,All kind,
20236539,195000€,3,105,,2,,7860,lessines,for-sale,house,house,,,All kind,
20236538,369000€,2,100,,2,,8000,brugge,for-sale,house,house,,,All kind,
20086073,309500€,2,160,USA uninstalled,3,,4560,clavier,for-sale,house,house,,1,All kind,
20236536,490000€,4,215,,5,,1880,kapelle-op-den-bos,for-sale,villa,house,,,All kind,
20236535,375000€,,,,7,,8970,poperinge,for-sale,exceptional-property,house,,,,
20236515,849000€,2,400,Hyper equipped,4,,9992,maldegem-middelburg,for-sale,house,house,,,,
20236508,280000€,2,174,Semi equipped,4,,6600,bastogne,for-sale,house,house,,,,
20236507,595000€,4,237,Hyper equipped,4,,2400,mol,for-sale,villa,house,,,,
20236505,115000€,2,102,,3,No,9500,geraardsbergen,for-sale,house,house,6,27,,
20236503,290000€,3,100,Not installed,3,No,4540,amay,for-sale,house,house,20,100,,
20236502,320000€,3,150,Not installed,3,No,4540,amay,for-sale,house,house,30,100,,
20236496,279000€,3,,Hyper equipped,4,,3920,lommel,for-sale,house,house,,,,
20236495,169000€,3,110,Installed,3,No,4870,trooz,for-sale,house,house,,,,
20236490,329000€,,218,,3,No,3800,sint-truiden,for-sale,house,house,,,,
20236488,249000€,,91,Installed,2,No,3720,kortessem,for-sale,bungalow,house,,,,
20236478,399000€,,186,Hyper equipped,3,No,9420,erpe-mere,for-sale,house,house,,,,
20236477,729000€,4,200,,3,No,3050,oud-heverlee,for-sale,house,house,54,,,
20236476,749000€,4,272,Hyper equipped,5,,3080,tervuren,for-sale,house,house,30,,,
20236474,799000€,4,362,Installed,4,,3080,tervuren,for-sale,villa,house,35,,,
20236473,299900€,2,148,Installed,2,No,2140,antwerpen,for-sale,house,house,,,,
20115417,229900€,4,150,,3,No,9800,deinze,for-sale,house,house,,,,
20236469,335000€,4,255,,3,,7890,lahamaide,for-sale,house,house,,,,
20236466,289500€,4,110,Hyper equipped,3,No,4500,huy,for-sale,house,house,,,,
20236465,1480000€,4,321,,4,,9831,sint-martens-latem,for-sale,villa,house,,,All kind,1
20236464,519000€,2,157,Semi equipped,4,,1410,waterloo,for-sale,house,house,,,,
20236463,529000€,2,159,,3,No,2900,schoten,for-sale,house,house,,,,
20236462,540000€,2,300,Installed,4,,1070,anderlecht,for-sale,house,house,,,,
20236459,2475000€,4,480,Hyper equipped,5,,2180,antwerpen-ekeren,for-sale,exceptional-property,house,65,,,1
20236458,650000€,4,255,Semi equipped,2,No,1020,laeken,for-sale,mixed-use-building,house,15,15,,
20236454,299000€,4,120,Semi equipped,3,No,4680,oupeye,for-sale,house,house,,550,,
20236452,350000€,4,338,Installed,5,No,9520,sint-lievens-houtem,for-sale,house,house,,,,
